,link,color,status,name,resolution,screensize,screentech,cpu,rom,ram,gpu,size,rear_cam,front_cam,sim,tech,wifi,bluetooth,weigth,os,port,price
79,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd.html,,new,Macbook Pro M1 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,8GB unified memory ,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),29.700.000
80,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-mgn63-mgn93-mgnd3.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,8GB unified memory || (,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,24.390.000
81,https://mac24h.vn/macbook-pro-13-inch-2019-512gb-ssd-gray-sliver.html,,new,Macbook Pro 13 inch 2019,3072 x 1920,16,retina,Intel Iris Plus Graphics 655,,8GB 2133MHz LPDDR3 memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),32.900.000
82,https://mac24h.vn/macbook-air-mqd32-13.3-inch-2017-core-i5-ram-8gb-ssd-128gb.html,,,"Macbook Air MQD32 13.3 inch, 2017 Realse Date 2020",,,,- VGA: Intel HD Graphics 6000 (Tích hợp),,- Bộ nhớ RAM: 8GB of 1600 MHz LPDDR3 ,,,,,,,,,,,,17.790.000
83,https://mac24h.vn/macbook-air-2020-13-inch-gray-core-i7-1.2ghz-16gb-2tb-ssd-cto-new-99.html,,new,Macbook Air 2020,1560 x 1600,13,retina,Intel Iris Plus Graphics & Retina display with True Tone,, 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,31.500.000
84,https://mac24h.vn/ctomacbook-air-m1-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,16GB unified memory,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,35.700.000
85,https://mac24h.vn/ctomacbook-air-13-inch-2020-apple-m1-8-core-cpu-16gb-256gb-ssd.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,16GB unified memory,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,29.770.000
86,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-256gb-ssd.html,,new,Macbook Pro M1 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,16GB unified memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),36.900.000
87,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd-en.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,16GB unified memory,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,42.700.000
88,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,16GB unified memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),62.000.000
